node_name,event_type
Node4984,Speciation
Node4985,Speciation
Node4970,Speciation
Node4971,Speciation
Node4980,Speciation
Node4981,Speciation
Node4982,Speciation
Node4972,Speciation
Node4973,Speciation
Node4974,Speciation
Node4977,Speciation
Node4978,Speciation
Node4979,Speciation
Node4975,Speciation
Node4976,Speciation
Node4983,Speciation
Node4986,Speciation
Node4987,Speciation
Node4988,Speciation
Node4989,Speciation
Node4993,Speciation
Node4990,Speciation
Node4991,Speciation
Node4992,Speciation
Node4994,Speciation
Node4995,Speciation
Node4996,Speciation
Node4997,Speciation
Node4999,Speciation
Node4998,Speciation
Node5000,Speciation
Node5001,Speciation
Node5002,Speciation
Node5003,Speciation
Node5004,Speciation
Node5005,Speciation
Node5006,Speciation
Node4941,Speciation
Node4954,Speciation
Node4962,Speciation
Node4963,Speciation
Node4964,Speciation
Node4955,Speciation
Node4957,Speciation
Node4958,Speciation
Node4959,Speciation
Node4960,Speciation
Node4961,Speciation
Node4956,Speciation
Node4942,Speciation
Node4943,Speciation
Node4944,Speciation
Node4945,Speciation
Node4946,Speciation
Node4947,Speciation
Node4948,Speciation
Node4949,Speciation
Node4950,Speciation
Node4951,Speciation
Node4952,Speciation
Node4953,Speciation
Node5007,Speciation
Node5008,Speciation
Node5009,Speciation
Node5010,Speciation
Node5011,Speciation
Node5012,Speciation
Node5013,Speciation
Node5014,Speciation
Node5015,Speciation
Node5016,Speciation
Node5017,Speciation
Node5020,Speciation
Node5018,Speciation
Node5019,Speciation
Node5021,Speciation
Node5022,Speciation
Node5023,Speciation
Node5024,Speciation
Node5025,Speciation
Node4891,Speciation
Node4892,Speciation
Node4933,Speciation
Node4934,Speciation
Node4935,Speciation
Node4936,Speciation
Node4937,Speciation
Node4893,Speciation
Node4932,Speciation
Node4894,Speciation
Node4895,Speciation
Node4896,Speciation
Node4920,Speciation
Node4921,Speciation
Node4897,Speciation
Node4918,Speciation
Node4919,Speciation
Node4898,Speciation
Node4917,Speciation
Node4899,Speciation
Node4900,Speciation
Node4901,Speciation
Node4902,Speciation
Node4912,Speciation
Node4913,Speciation
Node4914,Speciation
Node4915,Speciation
Node4916,Speciation
Node4903,Speciation
Node4904,Speciation
Node4905,Speciation
Node4906,Speciation
Node4907,Speciation
Node4908,Speciation
Node4909,Speciation
Node4910,Speciation
Node4911,Speciation
Node4922,Speciation
Node4930,Speciation
Node4931,Speciation
Node4923,Speciation
Node4925,Speciation
Node4929,Speciation
Node4926,Speciation
Node4927,Speciation
Node4928,Speciation
Node4924,Speciation
Node4938,Speciation
Node5091,Speciation
Node5092,Speciation
Node5116,Speciation
Node5093,Speciation
Node5113,Speciation
Node5115,Speciation
Node5114,Speciation
Node5094,Speciation
Node5095,Speciation
Node5096,Speciation
Node5097,Speciation
Node5098,Speciation
Node5099,Speciation
Node5100,Speciation
Node5101,Speciation
Node5102,Speciation
Node5103,Speciation
Node5104,Speciation
Node5105,Speciation
Node5107,Speciation
Node5108,Speciation
Node5109,Speciation
Node5106,Speciation
Node5110,Speciation
Node5111,Speciation
Node5112,Speciation
Node5117,Speciation
Node5125,Speciation
Node5129,Speciation
Node5126,Speciation
Node5127,Speciation
Node5128,Speciation
Node5118,Speciation
Node5123,Speciation
Node5124,Speciation
Node5119,Speciation
Node5120,Speciation
Node5121,Speciation
Node5122,Speciation
Node5130,Speciation
Node5263,Speciation
Node5264,Speciation
Node5265,Speciation
Node5266,Speciation
Node5267,Speciation
Node5268,Speciation
Node5131,Speciation
Node5132,Speciation
Node5133,Speciation
Node5134,Speciation
Node5135,Speciation
Node5136,Speciation
Node5138,Speciation
Node5141,Speciation
Node5142,Speciation
Node5143,Speciation
Node5139,Speciation
Node5140,Speciation
Node5137,Speciation
Node5144,Speciation
Node5147,Speciation
Node5151,Speciation
Node5148,Speciation
Node5149,Speciation
Node5150,Speciation
Node5145,Speciation
Node5146,Speciation
Node5152,Speciation
Node5153,Speciation
Node5154,Speciation
Node5155,Speciation
Node5231,Speciation
Node5255,Speciation
Node5256,Speciation
Node5232,Speciation
Node5233,Speciation
Node5234,Speciation
Node5235,Speciation
Node5253,Speciation
Node5236,Speciation
Node5237,Speciation
Node5252,Speciation
Node5238,Speciation
Node5239,Speciation
Node5250,Speciation
Node5251,Speciation
Node5240,Speciation
Node5244,Speciation
Node5245,Speciation
Node5247,Speciation
Node5246,Speciation
Node5248,Speciation
Node5249,Speciation
Node5241,Duplication
Node5242,Speciation
Node5243,Speciation
Node5254,Speciation
Node5156,Speciation
Node5157,Speciation
Node5158,Speciation
Node5159,Speciation
Node5216,Speciation
Node5217,Speciation
Node5218,Speciation
Node5160,Speciation
Node5211,Speciation
Node5212,Speciation
Node5213,Speciation
Node5214,Speciation
Node5215,Speciation
Node5161,Speciation
Node5197,Speciation
Node5198,Speciation
Node5199,Speciation
Node5203,Speciation
Node5209,Speciation
Node5210,Speciation
Node5204,Speciation
Node5208,Speciation
Node5205,Speciation
Node5206,Speciation
Node5207,Speciation
Node5200,Speciation
Node5201,Speciation
Node5202,Speciation
Node5162,Speciation
Node5196,Speciation
Node5163,Speciation
Node5164,Speciation
Node5191,Speciation
Node5194,Speciation
Node5192,Speciation
Node5193,Speciation
Node5165,Speciation
Node5176,Speciation
Node5184,Speciation
Node5187,Speciation
Node5188,Speciation
Node5189,Speciation
Node5190,Speciation
Node5185,Speciation
Node5186,Speciation
Node5177,Speciation
Node5178,Speciation
Node5179,Speciation
Node5182,Speciation
Node5180,Speciation
Node5181,Speciation
Node5183,Speciation
Node5166,Speciation
Node5167,Speciation
Node5175,Speciation
Node5168,Speciation
Node5172,Speciation
Node5173,Speciation
Node5174,Speciation
Node5169,Speciation
Node5171,Speciation
Node5170,Speciation
Node5195,Speciation
Node5219,Speciation
Node5220,Speciation
Node5221,Speciation
Node5222,Speciation
Node5223,Speciation
Node5225,Speciation
Node5226,Speciation
Node5227,Speciation
Node5228,Speciation
Node5229,Speciation
Node5230,Speciation
Node5224,Speciation
Node5257,Speciation
Node5258,Speciation
Node5260,Speciation
Node5261,Speciation
Node5262,Speciation
Node5259,Speciation
Node5269,Speciation
Node5281,Speciation
Node5282,Speciation
Node5270,Speciation
Node5271,Speciation
Node5272,Speciation
Node5273,Speciation
Node5274,Speciation
Node5275,Speciation
Node5276,Speciation
Node5277,Speciation
Node5278,Speciation
Node5279,Speciation
Node5280,Speciation
Node5283,Speciation
Node5288,Speciation
Node5289,Speciation
Node5290,Speciation
Node5284,Speciation
Node5285,Speciation
Node5286,Speciation
Node5287,Speciation
Node4177,Speciation
Node4621,Speciation
Node4622,Speciation
Node4657,Speciation
Node4658,Speciation
Node4659,Speciation
Node4660,Speciation
Node4623,Speciation
Node4624,Speciation
Node4625,Speciation
Node4626,Speciation
Node4627,Speciation
Node4628,Speciation
Node4629,Speciation
Node4630,Speciation
Node4631,Speciation
Node4655,Speciation
Node4656,Speciation
Node4632,Speciation
Node4634,Speciation
Node4635,Speciation
Node4636,Speciation
Node4637,Speciation
Node4647,Speciation
Node4638,Speciation
Node4646,Speciation
Node4639,Speciation
Node4645,Speciation
Node4640,Speciation
Node4643,Speciation
Node4644,Speciation
Node4641,Speciation
Node4642,Speciation
Node4648,Speciation
Node4649,Speciation
Node4652,Speciation
Node4653,Speciation
Node4654,Speciation
Node4650,Speciation
Node4651,Speciation
Node4633,Speciation
Node4178,Speciation
Node4384,Speciation
Node4570,Speciation
Node4571,Speciation
Node4572,Speciation
Node4573,Speciation
Node4574,Speciation
Node4575,Speciation
Node4576,Speciation
Node4577,Speciation
Node4608,Speciation
Node4609,Speciation
Node4610,Speciation
Node4611,Speciation
Node4578,Speciation
Node4579,Speciation
Node4580,Speciation
Node4581,Speciation
Node4596,Speciation
Node4599,Speciation
Node4602,Speciation
Node4600,Speciation
Node4601,Speciation
Node4597,Speciation
Node4598,Speciation
Node4582,Speciation
Node4583,Speciation
Node4584,Speciation
Node4585,Speciation
Node4586,Speciation
Node4587,Speciation
Node4588,Speciation
Node4589,Speciation
Node4590,Speciation
Node4591,Speciation
Node4592,Speciation
Node4593,Speciation
Node4594,Speciation
Node4595,Speciation
Node4603,Speciation
Node4604,Speciation
Node4605,Speciation
Node4606,Speciation
Node4607,Speciation
Node4612,Speciation
Node4617,Speciation
Node4618,Speciation
Node4620,Speciation
Node4619,Speciation
Node4613,Speciation
Node4614,Speciation
Node4615,Speciation
Node4616,Speciation
Node4385,Speciation
Node4386,Speciation
Node4387,Speciation
Node4525,Speciation
Node4526,Speciation
Node4527,Speciation
Node4529,Speciation
Node4528,Speciation
Node4388,Speciation
Node4389,Speciation
Node4505,Speciation
Node4390,Speciation
Node4391,Speciation
Node4392,Speciation
Node4393,Speciation
Node4394,Speciation
Node4395,Speciation
Node4396,Speciation
Node4397,Speciation
Node4398,Speciation
Node4399,Speciation
Node4400,Speciation
Node4401,Speciation
Node4402,Speciation
Node4403,Speciation
Node4404,Speciation
Node4405,Speciation
Node4406,Speciation
Node4407,Speciation
Node4408,Speciation
Node4409,Speciation
Node4410,Speciation
Node4411,Speciation
Node4412,Speciation
Node4413,Speciation
Node4465,Speciation
Node4414,Speciation
Node4415,Speciation
Node4445,Speciation
Node4446,Speciation
Node4447,Speciation
Node4416,Speciation
Node4417,Speciation
Node4418,Speciation
Node4432,Speciation
Node4433,Speciation
